Date,Level
01/01/1860,177.285
02/01/1860,177.339
03/01/1860,177.349
04/01/1860,177.388
05/01/1860,177.425
06/01/1860,177.461
07/01/1860,177.473
08/01/1860,177.416
09/01/1860,177.355
10/01/1860,177.26
11/01/1860,177.16
12/01/1860,177.111
01/01/1861,177.077
02/01/1861,177.105
03/01/1861,177.224
04/01/1861,177.254
05/01/1861,177.382
06/01/1861,177.431
07/01/1861,177.47
08/01/1861,177.544
09/01/1861,177.449
10/01/1861,177.413
11/01/1861,177.342
12/01/1861,177.291
01/01/1862,177.227
02/01/1862,177.181
03/01/1862,177.272
04/01/1862,177.321
05/01/1862,177.397
06/01/1862,177.437
07/01/1862,177.406
08/01/1862,177.403
09/01/1862,177.382
10/01/1862,177.349
11/01/1862,177.23
12/01/1862,177.187
01/01/1863,177.166
02/01/1863,177.181
03/01/1863,177.178
04/01/1863,177.178
05/01/1863,177.242
06/01/1863,177.269
07/01/1863,177.254
08/01/1863,177.214
09/01/1863,177.16
10/01/1863,177.132
11/01/1863,177.08
12/01/1863,177.102
01/01/1864,177.032
02/01/1864,176.989
03/01/1864,177.065
04/01/1864,177.111
05/01/1864,177.132
06/01/1864,177.129
07/01/1864,177.099
08/01/1864,177.044
09/01/1864,176.961
10/01/1864,176.843
11/01/1864,176.791
12/01/1864,176.751
01/01/1865,176.684
02/01/1865,176.711
03/01/1865,176.763
04/01/1865,176.913
05/01/1865,176.961
06/01/1865,176.974
07/01/1865,177.105
08/01/1865,177.111
09/01/1865,177.074
10/01/1865,177.001
11/01/1865,176.83
12/01/1865,176.736
01/01/1866,176.657
02/01/1866,176.583
03/01/1866,176.599
04/01/1866,176.736
05/01/1866,176.791
06/01/1866,176.879
07/01/1866,176.958
08/01/1866,176.977
09/01/1866,176.931
10/01/1866,176.897
11/01/1866,176.87
12/01/1866,176.791
01/01/1867,176.782
02/01/1867,176.797
03/01/1867,176.852
04/01/1867,176.94
05/01/1867,177.007
06/01/1867,177.102
07/01/1867,177.147
08/01/1867,177.126
09/01/1867,177.044
10/01/1867,176.943
11/01/1867,176.803
12/01/1867,176.696
01/01/1868,176.647
02/01/1868,176.635
03/01/1868,176.843
04/01/1868,176.812
05/01/1868,176.897
06/01/1868,176.961
07/01/1868,176.971
08/01/1868,176.867
09/01/1868,176.794
10/01/1868,176.724
11/01/1868,176.702
12/01/1868,176.617
01/01/1869,176.587
02/01/1869,176.608
03/01/1869,176.529
04/01/1869,176.641
05/01/1869,176.742
06/01/1869,176.904
07/01/1869,177.019
08/01/1869,177.099
09/01/1869,177.065
10/01/1869,176.955
11/01/1869,176.919
12/01/1869,176.833
01/01/1870,176.849
02/01/1870,176.876
03/01/1870,176.968
04/01/1870,177.096
05/01/1870,177.199
06/01/1870,177.242
07/01/1870,177.275
08/01/1870,177.248
09/01/1870,177.291
10/01/1870,177.169
11/01/1870,177.047
12/01/1870,176.94
01/01/1871,176.986
02/01/1871,176.961
03/01/1871,177.144
04/01/1871,177.205
05/01/1871,177.312
06/01/1871,177.324
07/01/1871,177.333
08/01/1871,177.263
09/01/1871,177.059
10/01/1871,176.849
11/01/1871,176.833
12/01/1871,176.654
01/01/1872,176.614
02/01/1872,176.614
03/01/1872,176.547
04/01/1872,176.623
05/01/1872,176.699
06/01/1872,176.812
07/01/1872,176.913
08/01/1872,176.907
09/01/1872,176.885
10/01/1872,176.849
11/01/1872,176.76
12/01/1872,176.559
01/01/1873,176.556
02/01/1873,176.568
03/01/1873,176.663
04/01/1873,176.836
05/01/1873,177.007
06/01/1873,177.108
07/01/1873,177.096
08/01/1873,177.126
09/01/1873,177.068
10/01/1873,177.05
11/01/1873,176.98
12/01/1873,176.968
01/01/1874,176.955
02/01/1874,177.044
03/01/1874,177.089
04/01/1874,177.059
05/01/1874,177.053
06/01/1874,177.166
07/01/1874,177.144
08/01/1874,177.147
09/01/1874,177.092
10/01/1874,177.01
11/01/1874,176.846
12/01/1874,176.891
01/01/1875,176.803
02/01/1875,176.785
03/01/1875,176.797
04/01/1875,176.855
05/01/1875,176.961
06/01/1875,177.056
07/01/1875,177.114
08/01/1875,177.105
09/01/1875,177.117
10/01/1875,177.059
11/01/1875,177.025
12/01/1875,176.943
01/01/1876,176.98
02/01/1876,176.974
03/01/1876,177.013
04/01/1876,177.099
05/01/1876,177.281
06/01/1876,177.431
07/01/1876,177.565
08/01/1876,177.547
09/01/1876,177.513
10/01/1876,177.391
11/01/1876,177.345
12/01/1876,177.288
01/01/1877,177.199
02/01/1877,177.196
03/01/1877,177.175
04/01/1877,177.199
05/01/1877,177.251
06/01/1877,177.239
07/01/1877,177.294
08/01/1877,177.263
